"","Country","Region","Code","Date","Sex","Age","AgeInt","Metric","Measure","Value"
"248","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","70",10,"Count","Deaths",206
"249","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","80",10,"Count","Deaths",231
"250","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","90",15,"Count","Deaths",69
"251","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","0",10,"Count","Deaths",0
"252","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","10",10,"Count","Deaths",1
"253","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","20",10,"Count","Deaths",0
"254","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","30",10,"Count","Deaths",1
"255","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","40",10,"Count","Deaths",1
"256","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","50",10,"Count","Deaths",8
"257","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","60",10,"Count","Deaths",31
"258","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","70",10,"Count","Deaths",93
"259","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","80",10,"Count","Deaths",204
"260","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","90",15,"Count","Deaths",110
"261","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","0",10,"Count","Cases",28
"262","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","10",10,"Count","Cases",28
"263","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","20",10,"Count","Cases",196
"264","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","30",10,"Count","Cases",443
"265","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","40",10,"Count","Cases",637
"266","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","50",10,"Count","Cases",839
"267","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","60",10,"Count","Cases",910
"268","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","70",10,"Count","Cases",928
"269","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","80",10,"Count","Cases",666
"270","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","90",15,"Count","Cases",179
"271","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","0",10,"Count","Cases",21
"272","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","10",10,"Count","Cases",39
"273","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","20",10,"Count","Cases",324
"274","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","30",10,"Count","Cases",580
"275","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","40",10,"Count","Cases",801
"276","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","50",10,"Count","Cases",919
"277","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","60",10,"Count","Cases",764
"278","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","70",10,"Count","Cases",719
"279","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","80",10,"Count","Cases",827
"280","Spain","Valencia","ES_VC18.04.2020","18.04.2020","f","90",15,"Count","Cases",399
"281","Spain","Valencia","ES_VC19.04.2020","19.04.2020","m","0",10,"Count","Deaths",0
"282","Spain","Valencia","ES_VC19.04.2020","19.04.2020","m","10",10,"Count","Deaths",0
"283","Spain","Valencia","ES_VC19.04.2020","19.04.2020","m","20",10,"Count","Deaths",1
"284","Spain","Valencia","ES_VC19.04.2020","19.04.2020","m","30",10,"Count","Deaths",6
"285","Spain","Valencia","ES_VC19.04.2020","19.04.2020","m","40",10,"Count","Deaths",6
"286","Spain","Valencia","ES_VC19.04.2020","19.04.2020","m","50",10,"Count","Deaths",22
"287","Spain","Valencia","ES_VC19.04.2020","19.04.2020","m","60",10,"Count","Deaths",77
"288","Spain","Valencia","ES_VC19.04.2020","19.04.2020","m","70",10,"Count","Deaths",209
"289","Spain","Valencia","ES_VC19.04.2020","19.04.2020","m","80",10,"Count","Deaths",236
"290","Spain","Valencia","ES_VC19.04.2020","19.04.2020","m","90",15,"Count","Deaths",69
"291","Spain","Valencia","ES_VC19.04.2020","19.04.2020","f","0",10,"Count","Deaths",0
